trade_no,ticket,direction,entry_date,entry_time_utc,entry_time_wib,exit_date,exit_time_utc,exit_time_wib,entry_price,exit_price,sl,tp,sl_pips,tp_pips,volume,profit_usd,rr_ratio,duration_min,duration_str,confluence,smc_combo,session,regime,entry_reason,exit_reason,mfe_usd,mae_usd,stage_reached,snapshots_count,is_win,is_loss,is_breakeven,cumulative_pnl,equity,drawdown_pct,week_label,month_label,entry_hour
1,3913500716,BUY,2026-02-23,10:51:03,17:51:03,2026-02-23,15:01:49,22:01:49,5157.114,5186.22,5136.39,5209.09,20.72,51.98,0.01,28.71,1.386,250,4h 10m,0.7806,BOS,London Session,Unknown,BS|0.78,Trailing SL Hit (MT5 external),0,0,,0,True,False,False,28.71,128.71,0.0,2026-W09,2026-02,10
2,3916717263,BUY,2026-02-23,16:00:52,23:00:52,2026-02-23,21:30:00,04:30:00,5193.548,5230.056,5148.94,5267.55,44.61,74.0,0.01,36.12,0.81,329,5h 29m,0.7761,CHoCH,London-NY Overlap,Unknown,CH|0.78,"Session End Profit (49% of TP, 30min to close)",42.81,-16.49,PRE_CLOSE_LOCKED,164,True,False,False,64.83,164.83,0.0,2026-W09,2026-02,16
3,3920121545,SELL,2026-02-24,01:15:02,08:15:02,2026-02-24,01:19:20,08:19:20,5185.619,5166.599,5224.53,5107.54,38.91,78.08,0.01,19.02,0.489,4,4m,0.5492,CHoCH+FVG,Asian Session,Unknown,CH|FG|0.55,Trailing SL Hit (MT5 external),39.06,19.02,BE_REACHED,2,True,False,False,83.85,183.85,0.0,2026-W09,2026-02,1
4,3921074564,BUY,2026-02-24,03:00:01,10:00:01,2026-02-24,03:15:01,10:15:01,5189.763,5188.835,5148.76,5269.02,41.0,79.26,0.01,-1.32,-0.032,15,15m,0.4943,BOS,Asian Session,Unknown,BS|0.49,Opposite structure break,-1.1,-3.35,OPEN,7,False,True,False,82.53,182.53,0.72,2026-W09,2026-02,3
5,3921249473,SELL,2026-02-24,03:30:01,10:30:01,2026-02-24,13:59:33,20:59:33,5182.576,5114.056,5217.1,5113.31,34.52,69.27,0.01,68.52,1.985,629,10h 29m,0.8161,CHoCH,Asian Session,Unknown,CH|0.82,Trailing SL Hit (MT5 external),68.52,-5.32,PARTIAL_CLOSED,314,True,False,False,151.05,251.05,0.0,2026-W09,2026-02,3
6,3927539064,SELL,2026-02-24,15:30:01,22:30:01,2026-02-25,01:19:44,08:19:44,5138.218,5184.45,5184.45,5045.45,46.23,92.77,0.01,-45.85,-0.992,589,9h 49m,0.7566,BOS,London-NY Overlap,Unknown,BS|0.76,SL Hit (MT5 external),7.59,-45.85,OPEN,264,False,True,False,105.2,205.2,18.26,2026-W09,2026-02,15
7,3930815373,BUY,2026-02-25,01:30:02,08:30:02,2026-02-25,01:45:00,08:45:00,5185.298,5180.065,5146.44,5263.27,38.86,77.97,0.01,-5.62,-0.145,14,14m,0.676,CHoCH,Asian Session,Unknown,CH|0.68,Opposite structure break,2.61,-5.83,OPEN,7,False,True,False,99.58,199.58,20.5,2026-W09,2026-02,1
